ibge_code,population
2100402,8189
2100436,27858
2100477,31943
2100501,11212
2100550,7005
2100600,41729
2100709,26988
2100808,15894
2100832,17413
2100873,15551
2100907,46771
2100956,32764
2101004,29932
2101103,12183
2101202,104790
2101251,17252
2101301,18654
2101350,5670
2101400,95929
2101509,18924
2101608,88492
2101707,63217
2101731,7528
2101772,11279
2101806,5638
2101905,21299
2101939,6073
2101970,8382
2102002,41822
2102036,34567
2102077,16438
2102101,36651
2102150,9014
2102200,28798
2102309,23939
2102325,72983
2102358,15467
2102374,9478
2102408,11216
2102507,19451
2102556,14453
2102606,20278
2102705,22117
2102754,10935
2102804,24165
2102903,23952
2103000,165525
2103109,10693
2103125,8740
2103158,13670
2103174,21840
2103208,80195
2103257,14777
2103307,123116
2103406,49621
2103505,41312
2103554,16400
2103604,65544
2103703,32626
2103752,12916
2103802,23372
2103901,11401
2104008,17104
2104057,42527
2104073,8484
2104081,10460
2104099,19258
2104107,12647
2104206,15567
2104305,11963
2104404,17944
2104503,10886
2104552,18520
2104602,16882
2104628,7841
2104651,10151
2104677,25539
2104701,6261
2104800,70065
2104909,11997
2105005,28932
2105104,27269
2105153,14324
2105203,11387
2105302,259337
2105351,16005
2105401,68723
2105427,26068
2105450,10310
2105476,17040
2105500,23740
2105609,16198
2105658,4392
2105708,50616
2105807,10869
2105906,16314
2105922,11265
2105948,8857
2105963,11464
2105989,7602
2106003,11918
2106102,12214
2106201,6984
2106300,20029
2106326,21586
2106359,7775
2106375,16511
2106409,16977
2106508,23482
2106607,33943
2106631,17033
2106672,8483
2106706,21031
2106755,28754
2106805,15011
2106904,33664
2107001,9111
2107100,19572
2107209,14642
2107258,5427
2107308,4682
2107357,21080
2107407,19561
2107456,14836
2107506,123747
2107605,19781
2107704,21479
2107803,35008
2107902,19137
2108009,19583
2108058,16166
2108108,21066
2108207,39191
2108256,25354
2108306,38731
2108405,14345
2108454,23364
2108504,33065
2108603,83777
2108702,21379
2108801,18720
2108900,17595
2109007,24092
2109056,5955
2109106,48036
2109205,12838
2109239,7070
2109270,19069
2109304,11261
2109403,15431
2109452,31177
2109502,20334
2109551,7825
2109601,42994
2109700,5679
2109759,7826
2109809,42483
2109908,89489
2110005,72887
2110039,25371
2110104,25764
2110203,38298
2110237,13547
2110278,16034
2110302,14522
2110401,18717
2110500,45604
2110609,28667
2110658,7420
2110708,34384
2110807,4562
2110856,11941
2110906,12218
2111003,20701
2111029,15787
2111052,11193
2111078,18645
2111102,25996
2111201,179028
2111250,7640
2111300,1108975
2111409,18727
2111508,41579
2111532,12735
2111573,4684
2111607,18980
2111631,5131
2111672,6789
2111706,22350
2111722,14096
2111748,11214
2111763,14050
2111789,10299
2111805,18160
2111904,10634
2111953,5676
2112001,8582
2112100,29183
2112209,170222
2112233,22112
2112274,5854
2112308,42040
2112407,35709
2112456,25868
2112506,59398
2112605,33459
2112704,57168
2112803,52649
2112852,13598
2112902,32861
2113009,31522
2114007,51956
2200053,7102
2200103,5131
2200202,17470
2200251,7665
2200277,4918
2200301,14339
2200400,40605
2200459,5445
2200509,17604
2200608,6783
2200707,9938
2200806,3170
2200905,5827
2200954,2551
2201002,4720
2201051,7863
2201101,11326
2201150,11671
2201176,3952
2201200,47185
2201309,3352
2201408,7027
2201507,26905
2201556,4030
2201572,3587
2201606,10473
2201705,5507
2201739,6210
2201770,6815
2201804,4505
2201903,25387
2201919,5651
2201929,5685
2201945,6426
2201960,8347
2201988,3848
2202000,19807
2202026,8264
2202059,10630
2202075,3573
2202083,7674
2202091,5781
2202109,5620
2202117,5069
2202133,5965
2202174,7311
2202208,46893
2202251,3944
2202307,21258
2202406,11445
2202455,4114
2202505,10964
2202539,5890
2202554,5085
2202604,19715
2202653,5451
2202703,27845
2202711,4899
2202729,6168
2202737,4032
2202752,6516
2202778,7661
2202802,4807
2202851,4685
2202901,26709
2203008,8323
2203107,10444
2203206,11426
2203230,4968
2203255,4459
2203271,5367
2203305,13840
2203354,7029
2203404,6922
2203420,4354
2203453,9565
2203503,14575
2203602,4930
2203701,39848
2203750,5319
2203800,4462
2203859,2560
2203909,60025
2204006,5347
2204105,4323
2204154,3200
2204204,9372
2204303,11659
2204352,5460
2204402,10694
2204501,10497
2204550,4568
2204600,3879
2204659,9457
2204709,15319
2204808,9838
2204907,8566
2205003,11551
2205102,11028
2205151,5729
2205201,19170
2205250,4513
2205276,4875
2205300,4447
2205359,3005
2205409,14376
2205458,5466
2205508,39336
2205516,5485
2205524,5640
2205532,4777
2205540,2858
2205557,8577
2205565,4656
2205573,6777
2205581,4075
2205599,5198
2205607,5283
2205706,30438
2205805,25504
2205854,8342
2205904,5351
2205953,8543
2206001,4547
2206050,6449
2206100,10958
2206209,33833
2206308,1242
2206357,6608
2206407,10564
2206506,7767
2206605,10615
2206654,4530
2206670,6811
2206696,9209
2206704,7322
2206720,8602
2206753,4891
2206803,8723
2206902,6556
2206951,3003
2207009,37085
2207108,2468
2207207,6873
2207306,4126
2207355,3404
2207405,5036
2207504,14587
2207553,3937
2207603,10819
2207702,153482
2207751,4323
2207777,6406
2207793,4065
2207801,20554
2207850,3669
2207900,38778
2207934,2544
2207959,4383
2208007,78431
2208106,12139
2208205,18459
2208304,28874
2208403,63787
2208502,12608
2208551,2720
2208601,3150
2208650,9017
2208700,8796
2208809,17979
2208858,4309
2208874,4488
2208908,7376
2209005,6433
2209104,6247
2209153,4033
2209203,6254
2209302,5882
2209351,4642
2209377,5255
2209401,6441
2209450,2166
2209500,3803
2209559,4451
2209609,2932
2209658,5779
2209708,6420
2209757,3057
2209807,5030
2209856,4614
2209872,6064
2209906,6122
2209955,4848
2209971,8038
2210003,20662
2210052,5354
2210102,3741
2210201,6700
2210300,6371
2210359,4577
2210375,2646
2210383,2454
2210391,3038
2210409,17639
2210508,14324
2210607,34877
2210623,3451
2210631,4303
2210656,10058
2210706,14649
2210805,12746
2210904,4563
2210938,6767
2210953,2929
2210979,2773
2211001,868075
2211100,44569
2211209,21655
2211308,20929
2211357,4938
2211407,4386
2211506,3080
2211605,2952
2211704,4471
2300101,11853
2300150,15036
2300200,63104
2300309,54481
2300408,17493
2300507,11781
2300606,7650
2300705,17196
2300754,43829
2300804,7378
2300903,14672
2301000,80935
2301109,74975
2301208,26535
2301257,10959
2301307,21654
2301406,11802
2301505,7844
2301604,23478
2301703,24610
2301802,6303
2301851,18256
2301901,61228
2301950,22573
2302008,22758
2302057,15044
2302107,35941
2302206,53949
2302305,32722
2302404,54577
2302503,49842
2302602,63907
2302701,27470
2302800,77244
2302909,17786
2303006,22782
2303105,18459
2303204,26987
2303303,18699
2303402,17685
2303501,72232
2303600,20871
2303659,10376
2303709,365212
2303808,25585
2303907,13091
2303931,13565
2303956,20274
2304004,23239
2304103,75159
2304202,133031
2304236,18133
2304251,24977
2304269,9662
2304277,7225
2304285,54337
2304301,19389
2304350,24452
2304400,2686612
2304459,16631
2304509,14134
2304608,7694
2304657,14407
2304707,54962
2304806,4814
2304905,11144
2304954,26290
2305001,40784
2305100,5132
2305209,20053
2305233,68529
2305266,13369
2305308,25082
2305332,12629
2305357,20060
2305407,68162
2305506,103074
2305605,26187
2305654,11596
2305704,12485
2305803,42058
2305902,38114
2306009,14326
2306108,24305
2306207,7866
2306256,38325
2306306,53067
2306405,130539
2306504,20520
2306553,42215
2306603,21836
2306702,18147
2306801,11492
2306900,34636
2307007,33834
2307106,27181
2307205,8130
2307254,20087
2307304,276264
2307403,24892
2307502,31492
2307601,59890
2307635,19864
2307650,229458
2307700,130346
2307809,27595
2307908,11321
2308005,39044
2308104,48168
2308203,15185
2308302,27462
2308351,13142
2308377,13894
2308401,35480
2308500,43858
2308609,17249
2308708,61738
2308807,8779
2308906,22685
2309003,14549
2309102,10941
2309201,15684
2309300,32408
2309409,28673
2309458,25833
2309508,21384
2309607,73188
2309706,84554
2309805,12288
2309904,6549
2310001,9422
2310100,13439
2310209,35304
2310258,32992
2310308,31455
2310407,12252
2310506,43309
2310605,9143
2310704,37900
2310803,16331
2310852,20769
2310902,17086
2310951,11001
2311009,12347
2311108,14958
2311207,11106
2311231,6437
2311264,21166
2311306,88321
2311355,16147
2311405,81778
2311504,22293
2311603,29146
2311702,18385
2311801,78882
2311900,15788
2311959,16635
2312007,32654
2312106,17712
2312205,43711
2312304,48131
2312403,48869
2312502,7601
2312601,13044
2312700,25456
2312809,7691
2312908,210711
2313005,18357
2313104,30807
2313203,26225
2313252,8573
2313302,59062
2313351,19371
2313401,76537
2313500,56291
2313559,16431
2313609,35047
2313708,7736
2313757,19903
2313807,22040
2313906,13915
2313955,18471
2314003,40903
2314102,61410
2400109,11121
2400208,58384
2400307,11029
2400406,3272
2400505,13553
2400604,4710
2400703,14728
2400802,11705
2400901,7154
2401008,35874
2401107,27967
2401206,14417
2401305,9670
2401404,9322
2401453,28747
2401503,3994
2401602,5525
2401651,2197
2401701,10267
2401800,12787
2401859,6561
2401909,3715
2402006,68343
2402105,11291
2402204,34548
2402303,20541
2402402,8239
2402501,10867
2402600,73886
2402709,11181
2402808,5504
2402907,4915
2403004,7983
2403103,44905
2403202,7072
2403251,267036
2403301,5668
2403400,6054
2403509,10484
2403608,28936
2403707,5997
2403756,3067
2403806,9786
2403905,2813
2404002,4041
2404101,2845
2404200,26669
2404309,13076
2404408,10463
2404507,15963
2404606,13901
2404705,15626
2404804,2253
2404853,7595
2404903,5897
2405009,9238
2405108,6893
2405207,5248
2405306,10275
2405405,4995
2405504,2606
2405603,14942
2405702,12396
2405801,35160
2405900,2654
2406007,5946
2406106,18315
2406155,3922
2406205,6811
2406304,7584
2406403,2732
2406502,15749
2406601,8297
2406700,11344
2406809,4763
2406908,4025
2407005,10146
2407104,81821
2407203,32039
2407252,4062
2407302,8336
2407401,8758
2407500,12544
2407609,4634
2407708,11208
2407807,22576
2407906,2084
2408003,300618
2408102,890480
2408201,27938
2408300,37450
2408409,4244
2408508,4813
2408607,4276
2408706,3750
2408805,5272
2408904,21545
2408953,10905
2409100,13474
2409209,3102
2409308,12809
2409332,5621
2409407,30600
2409506,3199
2409605,2438
2409704,6653
2409803,14844
2409902,15272
2410009,3869
2410108,15531
2410207,7906
2410256,6522
2410306,10522
2410405,9724
2410504,5128
2410603,3208
2410702,3614
2410801,4199
2410900,8220
2411007,4462
2411056,4140
2411106,3592
2411205,39988
2411403,11956
2411429,2689
2411502,24280
2411601,2717
2411700,4495
2411809,3595
2411908,4255
2412005,103672
2412104,6207
2412203,44236
2412302,12879
2412401,4665
2412500,23655
2412559,10362
2412609,17720
2412708,5930
2412807,8192
2412906,11053
2413003,6450
2413102,6127
2413201,4484
2413300,5751
2413359,12083
2413409,8092
2413508,6178
2413557,4816
2413607,2088
2413706,5561
2413805,2586
2413904,12297
2414001,15869
2414100,10855
2414159,6019
2414209,14440
2414308,2421
2414407,33503
2414456,3216
2414506,10520
2414605,14800
2414704,5515
2414753,4205
2414803,12637
2414902,1725
2415008,3194
2500106,10306
2500205,5630
2500304,28439
2500403,20921
2500502,14560
2500536,5509
2500577,2577
2500601,19727
2500700,18026
